Title,Categories,Description
Middlemarch,,"Middlemarch, A Study of Provincial Life is a novel by the English author George Eliot (Mary Anne Evans). The novel is set in the fictitious Midlands town of Middlemarch during 1829-32, and follows several distinct, intersecting stories with a large cast of characters. Issues include the status of women, the nature of marriage, idealism, self-interest, religion, hypocrisy, political reform, and education. Despite comic elements, Middlemarch is a work of realism encompassing historical events: the 1832 Reform Act, the beginnings of the railways, and the death of King George IV and succession of his brother, the Duke of Clarence (King William IV). It is now seen widely as her best work and one of the great novels in English. Taking place in the years leading up to the First Reform Bill of 1832, Middlemarch explores nearly every subject of concern to modern life: art, religion, science, politics, self, society, human relationships. Among her characters are some of the most remarkable portraits in English literature: Dorothea Brooke, the heroine, idealistic but naive; Rosamond Vincy, beautiful and egoistic: Edward Casaubon, the dry-as-dust scholar: Tertius Lydgate, the brilliant but morally-flawed physician: the passionate artist Will Ladislaw: and Fred Vincey and Mary Garth, childhood sweethearts whose charming courtship is one of the many humorous elements in the novel's rich comic vein."
As You Like It,Drama,"With its explorations of sexual ambivalence, As You Like It speaks directly to the twenty-first century. Juliet Dusinberredemonstrates that Rosalind's authority in the play grows from new ideas about women and reveals that Shakespeare's heroine reinvents herself for every age. But the play is also deeply rooted in Elizabethan culture and through it Shakespeare addresses some of the hotly debated issues of the period.""This will be the definitive edition of As You Like It for many years to come"" - Phyllis Rackin, University of Pennsylvania"
David Copperfield,Classics,"David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr Murdstone; his brilliant, but ultimately unworthy school-friend James Steerforth; his formidable aunt, Betsey Trotwood; the eternally humble, yet treacherous Uriah Heep; frivolous, enchanting Dora Spenlow; and the magnificently impecunious"
"Barlow's Tables of Squares, Cubes, Square Roots, Cube Roots, Reciprocals of All Integer Numbers Up to 10,000",History,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
A Thief in the Night annotated,"Contemporary Fiction,Crime","A Thief in the Night is a 1905 collection of short stories by E. W. Hornung. It was published in the UK by Chatto & Windus, London, and in the US by Scribner's, New York. The stories feature Hornung's popular character A. J. Raffles. It was the third book in the series, and the final collection of short stories."
Der Antichrist,,"»Diese ewige Anklage des Christentums will ich an alle Wände schreiben, wo es nur Wände gibt – ich habe Buchstaben, um auch Blinde sehend zu machen... Ich heiße das Christentum den einen großen Fluch, die eine große innerlichste Verdorbenheit, den einen großen Instinkt der Rache, dem kein Mittel giftig, heimlich, unterirdisch, klein genug ist – ich heiße es den einen unsterblichen Schandfleck der Menschheit...«. Dies ruft Nietzsche gegen Ende seines 1895 erschienenen Buches Der Antichrist aus, nachdem er den Zustand der Religion und den eines ganzen Zeitalters, der durch sie geprägt wurde, untersucht hatte. Seine polemisch vorgetragene Kritik am Christentum mündet schließlich in eine Kritik an seiner Zeit."
Murder Must Advertise,"Crime,Amateur Sleuth,Historical","Mad Men weren’t the first advertisers with dark secrets.

When an advertising copywriter is murdered under suspicious circumstances, Lord Peter Wimsey must go undercover to solve the case; by day, as a respected member of an advertising agency, and by night, as a wild bohemian. When he starts to sniff out evidence of a cocaine ring connected to the murder, things become rather more dangerous than Lord Peter bargained for.

Penguin Random House Canada is proud to bring you classic works of literature in e-book form, with the highest quality production values. Find more today and rediscover books you never knew you loved."
Have His Carcase,Detective and mystery stories,"Retreating to a barren beach in order to console her broken heart, mystery writer Harriet Vane is alarmed when she discovers the dead body of a young man and appeals to her friend Lord Peter for assistance in solving the mystery."
Hangman's Holiday,"Anthologies (non-poetry),Crime","Amusing and absolutely appalling things happen on the way to the gallows when murder meets Lord Peter Wimsey and the delightful working-class sleuth Montague Egg. This sumptuous feast of criminal doings and undoings includes a vintage double identity and a horrid incident of feline assassination that will tease the minds of cat-lovers everywhere. Not to be missed are ""The Incredible Elopement of Peter Wimsey"" (with a lovely American woman-turned-zombie) and eight more puzzlers penned in inimitable style by the mistress of murder.
Includes:
The image in the mirror --
The incredible elopement of Lord Peter Wimsey --
The queen's square --
The necklace of pearls --
The poisoned dow '08 --
Sleuths on the scent --
Murder in the morning --
One too many --
Murder at Pentecost --
Maher-Shalal-Hashbaz --
The man who knew how --
The fountain plays."
Lord Peter Views the Body,"Mystery, Thriller & Suspense,Mystery,Anthologies","In this delightful collection of Wimsey exploits, Dorothy L. Sayers reveals a gruesome, grotesque but absolutely bewitching side rarely shown in Lord Peter's full-length adventures.Lord Peter views the body in 12 tantalizing and bizarre ways in this outstanding collection. He deals with such marvels as the man with copper fingers, Uncle Meleager's missing will, the cat in the bag, the footsteps that ran, the stolen stomach, the man without a face...and with such clues as cyanide, jewels, a roast chicken and a classic crossword puzzle."
Unpleasantness at the Bellona Club,Crime,"Lord Peter Wimsey bent down over General Fentiman and drew the Morning Post gently away from the gnarled old hands. Then, with a quick jerk, he lifted the quiet figure. It came up all of a piece, stiff as a wooden doll . . .
But how did the general die? Who was the mysterious Mr X who fled when he was wanted for questioning? And which of the general's heirs, both members of the Bellona Club, is lying?"
Gaudy Night,Fiction,"When the dons of Harriet Vane's alma mater, the all-female Shrewsbury College, Oxford, invite her back to attend the annual Gaudy celebrations, the mood turns sour when someone begins a series of malicious acts. Who is responsible for the poison-pen messages, obscene graffiti, and wanton vandalism? Harriet asks her old friend Lord Peter Wimsey to investigate."
Unnatural Death,Fiction,"From Dorothy L. Sayers, one of the Queens of Crime, comes the third addition to the Lord Peter Wimsey series, Unnatural Death. ""The death was certainly sudden, unexpected, and to me mysterious,"" is what the letter from Dr. Paterson read. Lord Peter Wimsey and his friend, Chief Inspector Charles Parker, go on to discuss the associated case over dinner, unaware that they are being overheard by another. The bystander, Dr. Carr apologetically intrudes and asks to share a story with the two. Three years ago, an elderly patient he had been treating for cancer, Miss Agatha Dawson, dies suddenly. There was no evidence of foul play nor an obvious motive for murder, leaving the doctor suspicious but ultimately unable to find a sufficient cause. Immediately convinced that things are not all as they appear Lord Peter Wimsey takes the case. But with little clues and so much time passed, can the amateur sleuth solve the mystery of an old woman's unnatural death? A fantastic addition to a beloved series, Dorothy L. Sayers' Unnatural Death (1927) is both a captivating mystery and compelling meditation on gentleman detective Lord Peter Wimsey himself. Since our inception in 2020, Mint Editions has kept sustainability and innovation at the forefront of our mission. Each and every Mint Edition title gets a fresh, professionally typeset manuscript and a dazzling new cover, all while maintaining the integrity of the original book. With thousands of titles in our collection, we aim to spotlight..."
The Politics of Washing: Real Life in Venice,"European History,Guidebooks,Travel Writing","A riveting account of ordinary life in an extraordinary place, packed with charming anecdotes that will have readers hooked on Venetian lifeThe beautiful city of Venice has been a fantasy land for people from around the globe for centuries, but what is it like to live there? To move house by boat, to get a child with a broken leg to a hospital, or to set off for school one morning, only to find that the streets have become rivers and the playground is a lake full of sewage? When Polly Coles and her family left England for Venice, they discovered a city caught between modern and ancient life—where the locals still go on an annual pilgrimage to give thanks for the end of the Black Death, where schools are housed in renaissance palaces, and your new washing machine can only be delivered on foot. This is a city perilously under siege from tourism, but its people refuse to give it up—indeed they love it with a passion. This book is a fascinating window into the world of ordinary Venetians and the strange and unique place they call home."
The Age of Miracles: Essays on the Collapse of History,,"When history collapses, reason retreats and legends grow. The Age of Miracles is a collection of essays exploring the ways in which history has become entangled in myth. The long fall of Rome: Tales of cities of cannibals, satyrs and centaurs, saints and miracleworkers, all waiting just outside of sight. The rediscovery of Atlantis: How a Greek myth became a New Age touchstone. The birth of alternative facts: How to survive in a world of ""fake news."" Personal, heartfelt, vibrant and sometimes trenchant, these essays illuminate a world where facts and truth often disagree."
The Verbally Abusive Relationship: How to Recognize It and How to Respond,"Violence In Society,Social, Group Or Collective Psychology,Family & Relationships","In this fully expanded and updated third edition of the bestselling classic, you learn why verbal abuse is more widespread than ever, and how you can deal with it. You'll get more of the answers you need to recognize abuse when it happens, respond to abusers safely and appropriately, and most important, lead a happier, healthier life.

In two all-new chapters, Evans reveals the Outside Stresses driving the rise in verbal abuse--and shows you how you can mitigate the devastating effects on your relationships. She also outlines the Levels of Abuse that characterize this kind of behavior--from subtle, insidious put-downs that can erode your self-esteem to full-out tantrums of name-calling, screaming, and threatening that can escalate into physical abuse.

Drawing from hundreds of real situations suffered by real people just like you, Evans offers strategies, sample scripts, and action plans designed to help you deal with the abuse--and the abuser.

This timely new edition of The Verbally Abusive Relationship, Expanded Third Edition puts you on the road to recognizing and responding to verbal abuse, one crucial step at a time!"
Gianniōtika diēgēmata,"Greek prose literature,Modern",
"Λευκο κοτσυφι, blue tree, μαυρο καραβι",Capitalism,"Ένας αστεροειδής στα κεφάλια μας. Ο ΑΝΘΡΩΠΟΣ ΠΟΥ EΦTIAXNE ΜΠΡΕΚΦΑΣΤ ΣΤΙΣ ΓΥΝΑΙΚΕΣ. Aδρεναλίνη. «Τα διπλά ή τίποτα»: Το τζάκποτ ενός τυχοδιώκτη δίχως αιτία. Η χιπ-χοπ καμπύλη του καπιταλισμού. Ο ΜΑΟ ΣΤΟ ΣΙΤI: ΟΙ ΤΕΚΤΟΝΙΚΕΣ ΜΕΤΑΤΟΠΙΣΕΙΣ ΣΤΟΝ ΠΑΓΚΟΣΜΙΟ ΚΑΠΙΤΑΛΙΣΜΟ. Η αμερικανική νεύρωση του μεγάλου φαλλού. Προδοσία και Διασπορά: οι ακούραστες μηχανές της καπιταλιστικής επέκτασης. Οι κύκλοι, οι πόλεμοι, οι παπάδες. «Τι Οθωμανοί, τι Αμερικάνοι!» Ένας Λούθηρος στην Κίνα. ΚΑΖΑΝ ΝΤΙΠΙ ΚΑΙ ΚΡΥΟ ΝΤΟΥΣ: ΚΡΙΣΕΙΣ ΚΑΙ ΚΡΑΧ ΤΟΥ ΚΑΠΙΤΑΛΙΣΜΟΥ. Σκληρός Οκτώβρης με ταούκ γκιογκσού. «Ποτέ την Κυριακή!» Vulture capitalism, τρώγοντας πτώματα. Aπό την ευφορία στον πανικό. Η μαύρη μαγεία των παγκόσμιων τραπεζιτών. Μαρία: η αυταπάτη της εξισορρόπησης ρίσκου και ανταμοιβής. Matina's cat bond: ομόλογο καταστροφών. Ο σοσιαλισμός της superclass. Φυγή: Mαύρος Σεπτέμβρης του 2083. Mπλε σκυλιά και κόκκινοι ελέφαντες: χωρίς ηγεσία στο χείλος της αβύσσου. 2029: ΤΑ ΥΒΡΙΔΙΑ ΤΟΥ ΝΕΟΥ ΚΑΠΙΤΑΛΙΣΜΟΥ. Οι Νέοι Αργοναύτες και οι «παρανοϊκοί» του νέου καπιταλισμού. Υμνείτε τους αναρχικούς, αλλά μη σκοτώνετε τους δικηγόρους. Dolce Vita capitalism: σκοτώστε τις μαμάδες! Karoshi καπιταλισμός. Βossa nova καπιταλισμός. Ταξίδι στην Αφροδίτη μ' ένα ξεχαρβαλωμένο Ιλιούσιν. Είναι η πολιτική, ανόητε! ΤΑ ΠΙΚΡΑΜYΓΔΑΛΑ ΤΟΥ ΚΑΠΙΤΑΛΙΣΜΟY: OΡΙΑ ΚΑΙ ΜΑΚΡΟΑΒΕΒΑΙOΤΗΤΕΣ. Τα λυχναράκια του χωρισμού. Ο «πράσινος» καουμπόι. Kεράσι γλυκό στον green capitalism! Το μάθημα των κρεμμυδιών. «Sex and the City» καπιταλισμός; Κέρασμα στους outside..."
Τίμαιος ή περί φύσεως/Κριτίας ή Ατλαντικός,,"ΤΙΜΑΙΟΣ ή ΠΕΡΙ ΦΥΣΕΩΣ: Η πλατωνική φυσική. Το σύμπαν, η ψυχή του ανθρώπου, η ψυχή του κόσμου. Έκθεση των κοσμολογικών, φυσικών, ιατρικών και ανθρωπολογικών απόψεων του φιλοσόφου με τρόπο άλλοτε κοντινό στη μυθολογική αφήγηση και άλλοτε αυστηρά επιστημονικό.
ΚΡΙΤΙΑΣ ή ΑΤΛΑΝΤΙΚΟΣ: Ημιτελής διάλογος στον οποίο ο Κριτίας αφηγείται πώς ήταν οργανωμένη η πόλη των Αθηνών εννέα χιλιάδες χρόνια πριν και πώς απέκρουσε την επιδρομή των κατοίκων της Ατλαντίδας.
Ο Πλάτων γεννήθηκε το 427 π.Χ., γόνος επιφανούς Αθηναϊκής οικογένειας. Έλαβε σπουδαία παιδεία και γνώρισε τα Ελληνικά φιλοσοφικά ρεύματα. Αυτό όμως που διαμόρφωσε καθοριστικά την ηθική και πνευματική του υπόσταση ήταν ο Σωκράτης, με τη ζωή, τη φιλοσοφία και τον θάνατό του. Ο μεγάλος φιλόσοφος ήταν αιτία να στραφεί ο νεαρός Πλάτων στη φιλοσοφία, και η Σωκρατική εννοιολογία αποτέλεσε βάση για τη δημιουργία της κατοπινής Πλατωνικής θεωρίας των Ιδεών. Ο Πλάτων ερμήνευσε βαθύτατα τον Σωκράτη ως άνθρωπο και διδάσκαλο, και αποτύπωσε την προσωπικότητά του σε πολλά έργα του. Ταξίδεψε στην Αίγυπτο, την Κυρήνη και τη Μεγάλη Ελλάδα, όπου προσπάθησε, χωρίς επιτυχία να εφαρμόσει τις πολιτικές αρχές του στην οργάνωση των Ελληνικών πόλεων της Σικελίας. Το 387 π.Χ. ίδρυσε στην Αθήνα την Ακαδημία, περίφημο κέντρο της φιλοσοφίας και των Μουσών, που διατηρήθηκε σχεδόν δέκα αιώνες, μέχρι τους χρόνους του Ιουστινιανού. Ο Πλάτων αφοσιώθηκε ως το θάνατό του (348 π.Χ) στη διδασκαλία και τη συγγραφή. Τα έργα του, που σώζονται όλα, ταξινόμησε ο Θράσυλλος..."
The Selected Works of Aleksandr Bogdanov,Political Science,"Alexander Aleksandrovich Bogdanov (1873-1928) was a Russian physician, philosopher, science fiction writer, and revolutionary of Belarusian ethnicity. He was a key figure in the early history of the Bolshevik faction of the Russian Social Democratic Labor Party, being one of its cofounders and a rival to Lenin until being expelled in 1909. In the first two decades of the Soviet Union, he was an influential opponent of the government from a Marxist perspective. The polymath Bogdanov received training in medicine and psychiatry. His scientific interests ranged from the universal systems theory to the possibility of human rejuvenation through blood transfusion. He invented an original philosophy called"
Introductory Complex Analysis,"Complex Analysis, Complex Variables","Introductory Complex Analysis is a scaled-down version of A. I. Markushevich's masterly three-volume ""Theory of Functions of a Complex Variable."" Dr. Richard Silverman, the editor and translator of the original, has prepared this shorter version expressly to meet the needs of a one-year graduate or undergraduate course in complex analysis. In his selection and adaptation of the more elementary topics from the original larger work, he was guided by a brief course prepared by Markushevich himself.
The book begins with fundamentals, with a definition of complex numbers, their geometric representation, their algebra, powers and roots of complex numbers, set theory as applied to complex analysis, and complex functions and sequences. The notions of proper and improper complex numbers and of infinity are fully and clearly explained, as is stereographic projection. Individual chapters then cover limits and continuity, differentiation of analytic functions, polynomials and rational functions, Mobius transformations with their circle-preserving property, exponentials and logarithms, complex integrals and the Cauchy theorem , complex series and uniform convergence, power series, Laurent series and singular points, the residue theorem and its implications, harmonic functions (a subject too often slighted in first courses in complex analysis), partial fraction expansions, conformal mapping, and analytic continuation.
Elementary functions are given a more detailed treatment than is usua..."
The Liar,Contemporary Fiction,"Stephen Fry's breathtakingly outrageous debut novel, by turns eccentric, shocking, brilliantly comic and achingly romantic.
Adrian Healey is magnificently unprepared for the long littleness of life; unprepared too for the afternoon in Salzburg when he will witness the savage murder of a Hungarian violinist; unprepared to learn about the Mendax device; unprepared for more murders and wholly unprepared for the truth.
The Liar is a thrilling, sophisticated and laugh out loud hilarious novel from a brilliantly talented writer."
How to Play the Didjeridoo: A Practical Guide for Everyone,Didjeridu,"Loads of information with sections on improving your sound, mouthpieces, sound variations, animal calls, circular breathing, advanced exercises, how to make your own didge bag and even a basic guide to making your own didgeridoos!! 55 pages. A5 softback. ISBN: 095398110X. ""The technique for blowing continuously is called circular breathing and is a requisite for didgeridoo playing. The book explains very clearly the technique needed to achieve this, and builds in logical stages of sound variations, rhythm, and animal sounds. The book also goes into details of making an instrument, the different types of didgeridoos that are available, and their various merits or disadvantages. Overall, a well-thought-out, thorough and excellent teaching aid."" Review by S. Farrenden. Songlines Magazine."
The 500cc Racing Car (Shire Library),Sports & Recreation,"This book outlines the development and important events in the history of 500cc motor racing, and it is hoped that it will stimulate or revive interest in an important era in motor-racing evolution."
The Mammoth Book of Space Exploration and Disasters,"Biography: Science, Technology & Engineering,Astronautics,Popular Astronomy & Space","In the words of those who trod the void and others based at mission control, here are more than fifty of the greatest true stories of suborbital, orbital, and deep space exploration. From Apollo 8's first view of a tortured landscape of craters on the ""dark side"" of the Moon to a series of cliff-hanger crises aboard space station Mir, The Mammoth Book of Space Exploration and Disasters offers moments of extraordinary heroic achievement as well as episodes of terrible human cost. High points include the classic, nail-biting account of abandoning Apollo 13 on the way to the Moon and Jerry Linenger's panic attack during a space walk where he was ""just out there dangling."""
Mammoth Book of the Deep,Marine accidents,"Dive in. Death is only a breath away. 'The Mammoth Book of the Deep' presents 30 true-life stories of danger, endurance and adventure from this final frontier."
The World Without Us,Popular Science,"""On the day after humans disappear, nature takes over and immediately begins cleaning house - or houses, that is. Cleans them right off the face of the earth. They all go.""

What if mankind disappeared right now, forever ... what would happen to the Earth in a week, a year, a millennium? Could the planet's climate ever recover from human activity? How would nature destroy our huge cities and our myriad plastics? And what would our final legacy be?

Speaking to experts in fields as diverse as oil production and ecology, and visiting the places that have escaped recent human activity to discover how they have adapted to life without us, Alan Weisman paints an intriguing picture of the future of Earth. Exploring key concerns of our time, this absorbing thought experiment reveals a powerful - and surprising - picture of our planet's future."
Tunnels of Cu Chi,"Asian History,Vietnam War","At the height of the Vietnam conflict, a complex system of secret underground tunnels sprawled from Cu Chi Province to the edge of Saigon. In these burrows, the Viet Cong cached their weapons, tended their wounded, and prepared to strike. They had only one enemy: U.S. soldiers small and wiry enough to maneuver through the guerrillas' narrow domain. 
The brave souls who descended into these hellholes were known as ""tunnel rats."" Armed with only pistols and K-bar knives, these men inched their way through the steamy darkness where any number of horrors could be awaiting them-bullets, booby traps, a tossed grenade. Using firsthand accounts from men and women on both sides who fought and killed in these underground battles, authors Tom Mangold and John Penycate provide a gripping inside look at this fearsome combat. The Tunnels of Cu Chi"" ""is a war classic of unbearable tension and unforgettable heroes."
The Wind Farm Scam: An Ecologist's Evaluation,Alternative & Renewable Energy Sources & Technology,"The specter of global warming and the political panic surrounding it has triggered a goldrush for renewable energy sources without an open discussion of the merits and drawbacks of each. In The Wind Farm Scam Dr Etherington argues that in the case of wind power the latter far outweigh the former. Wind turbines cannot generate enough energy to reduce global CO2 levels to a meaningful degree; what s more wind power is by nature intermittent and cannot generate a steady output, necessitating back-up coal and gas power plants that significantly negate the saving of greenhouse gas emissions.In addition to the inefficacy of wind power there are ecological drawbacks, including damage to habitats, wildlife and the far-from-insignificant aesthetic drawback of the assault upon natural beauty and the pristine landscape, which wind turbines entail.Dr Etherington argues that wind power has been, and is being, excessively financed at the cost of consumers who have not been consulted, nor informed that this effective subsidy is being paid from their bills to support an industry that cannot be cost efficient or, ultimately, favor the cause it purports to support."
Atlas Of Remote Islands,Reference,"Judith Schalansky was born in 1980 on the wrong side of the Berlin Wall. The Soviets wouldn't let anyone travel so everything she learnt about the world came from her parents' battered old atlas. An acclaimed novelist and award-winning graphic designer, she has spent years creating this, her own imaginative atlas of the world's loneliest places. These islands are so difficult to reach that until the late 1990s more people had set foot on the moon than on Peter I Island in the Antarctic. On one page are perfect maps, on the other unfold bizarre stories from the history of the islands themselves. Rare animals and strange people abound: from marooned slaves to lonely scientists, lost explorers to confused lighthouse keepers, mutinous sailors to forgotten castaways; a collection of Robinson Crusoes of all kinds. Recently awarded the prize of Germany's most beautiful book, the Atlas of Remote Islands is an intricately designed masterpiece that will delight maplovers everywhere. Judith Schalansky lures us across all the oceans of the world to fifty remote islands - from St Kilda to Easter Island and from Tristan da Cunha to Disappointment Island - and proves that some of the most memorable journeys can be taken by armchair travellers."
The Blue Planet: A Natural History of the Oceans,Wildlife: Aquatic Creatures,"From space Planet Earth is blue. It floats like a jewel in the inky black void. The reflection of the suns light from the vast expanse of water covering its surface creates its gem-like blue colour. In the entire solar system Earth is the only planet that has water in its liquid form in such quantities. Scientists have calculated that 70% of our planet is covered by water; small wonder then that humans have always been so fascinated by the oceans and what lies beneath. Today while we still have so much more of the ocean realm to uncover we have discovered enough to know that beneath the waves lies a vast treasure-trove of rich and diverse life. The Blue Planet leads us on a voyage of exploration from the coasts, the very edges of the oceans, to the deep where weird and monstrous fish lurk in a world of perpetual darkness. Along the way we meet a host of wonderful creatures from tiny copepods to majestic blue whales, from the grotesque hairy anglerfish, to the amazing tripod fish that stands on 3 delicate legs waiting to snap up unsuspecting prey. With a foreword by David Attenborough and 400 colour photos The Blue Planet is the first complete and comprehensive portrait of the whole ocean system."
